,ANGELEGT_AM,start_date_delict,start_time_delict,end_date_delict,end_time_delict,LOR,damage_amount,intent_delict,bike_type,delict,description,crime_duration_days,crime_duration_hours,year,month
0,2022-12-31,2022-12-26,20,2022-12-27,9,03400724,270,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,11,2022,12
1,2022-12-31,2022-12-30,14,2022-12-31,9,01401048,690,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,5,2022,12
2,2022-12-31,2022-12-30,10,2022-12-30,11,09501940,449,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,1,2022,12
3,2022-12-31,2022-12-30,1,2022-12-31,6,07100101,930,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,5,2022,12
4,2022-12-31,2022-12-23,14,2022-12-23,15,01100310,1143,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,1,2022,12
5,2022-12-31,2022-12-17,14,2022-12-17,15,08100104,728,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,1,2022,12
6,2022-12-31,2022-12-30,15,2022-12-31,9,02300419,300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,6,2022,12
7,2022-12-31,2022-12-22,11,2022-12-22,18,06300633,200,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,7,2022,12
8,2022-12-31,2022-12-31,12,2022-12-31,21,03300412,527,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,9,2022,12
9,2022-12-31,2022-12-29,18,2022-12-30,18,03701660,500,Nein,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,1 days,0,2022,12
10,2022-12-31,2022-12-28,19,2022-12-30,20,01200624,669,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2 days,1,2022,12
11,2022-12-30,2022-12-29,18,2022-12-29,22,03300516,900,Nein,diverse Fahrräder,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,0 days,4,2022,12
12,2022-12-30,2022-12-27,23,2022-12-30,15,02500835,1500,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3 days,8,2022,12
13,2022-12-30,2022-12-29,19,2022-12-30,9,01401047,650,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,10,2022,12
14,2022-12-30,2022-12-30,15,2022-12-30,17,01100102,398,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,2,2022,12
15,2022-12-30,2022-12-30,18,2022-12-30,21,03701556,2850,Nein,Herrenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,0 days,3,2022,12
16,2022-12-30,2022-12-29,13,2022-12-30,12,08100314,500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,1,2022,12
17,2022-12-30,2022-12-29,13,2022-12-30,11,04300624,731,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,2,2022,12
18,2022-12-30,2022-12-30,11,2022-12-30,13,07601546,3089,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,2,2022,12
19,2022-12-30,2022-12-30,13,2022-12-30,13,04400725,4199,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2022,12
20,2022-12-30,2022-12-29,8,2022-12-29,18,12200309,1650,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,10,2022,12
21,2022-12-30,2022-12-30,13,2022-12-30,14,05100316,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,1,2022,12
22,2022-12-30,2022-12-30,14,2022-12-30,14,01100310,568,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2022,12
23,2022-12-30,2022-12-29,23,2022-12-30,10,03200206,100,Nein,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,1 days,13,2022,12
24,2022-12-30,2022-12-29,12,2022-12-30,12,01300834,140,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,0,2022,12
25,2022-12-30,2022-12-30,21,2022-12-30,21,01401043,2000,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2022,12
26,2022-12-30,2022-12-28,19,2022-12-29,17,08100101,600,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,2,2022,12
27,2022-12-30,2022-12-27,19,2022-12-30,9,03701556,3999,Nein,Mountainbike,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,3 days,10,2022,12
28,2022-12-30,2022-12-13,0,2022-12-13,0,09200613,150,Nein,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,0 days,0,2022,12
29,2022-12-30,2022-12-30,2,2022-12-30,2,03300413,600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2022,12
30,2022-12-30,2022-12-30,8,2022-12-30,13,02500835,130,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,5,2022,12
31,2022-12-30,2022-12-28,21,2022-12-29,9,09501838,593,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,12,2022,12
32,2022-12-30,2022-12-29,22,2022-12-29,22,01200624,1000,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2022,12
33,2022-12-30,2022-12-27,15,2022-12-28,1,09200716,300,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,14,2022,12
34,2022-12-30,2022-12-29,19,2022-12-29,22,04300622,2700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,3,2022,12
35,2022-12-30,2022-12-26,18,2022-12-29,12,02200208,400,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3 days,6,2022,12
36,2022-12-30,2022-12-30,18,2022-12-30,21,03701556,2850,Nein,Damenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,0 days,3,2022,12
37,2022-12-30,2022-12-29,22,2022-12-30,7,08200730,730,Nein,Fahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,1 days,15,2022,12
38,2022-12-30,2022-12-19,9,2022-12-20,20,11400929,2155,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,11,2022,12
39,2022-12-30,2022-12-30,14,2022-12-30,16,01401048,1500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,2,2022,12
40,2022-12-30,2022-12-29,11,2022-12-29,21,03601243,999,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,10,2022,12
41,2022-12-30,2022-12-29,16,2022-12-29,23,04300621,600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,7,2022,12
42,2022-12-30,2022-12-30,13,2022-12-30,14,01401043,1500,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,1,2022,12
43,2022-12-30,2022-12-29,13,2022-12-30,15,08200730,6900,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,1 days,2,2022,12
44,2022-12-30,2022-12-29,20,2022-12-30,9,08100102,750,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,11,2022,12
45,2022-12-30,2022-12-27,17,2022-12-30,11,03400827,989,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3 days,6,2022,12
46,2022-12-30,2022-12-29,15,2022-12-30,13,08100102,597,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,2,2022,12
47,2022-12-30,2022-12-28,11,2022-12-29,21,09200716,750,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,10,2022,12
48,2022-12-30,2022-12-29,16,2022-12-30,9,09501736,1699,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,7,2022,12
49,2022-12-30,2022-12-15,20,2022-12-16,8,02200213,2000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,12,2022,12
50,2022-12-29,2022-12-28,3,2022-12-28,3,06300634,750,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2022,12
51,2022-12-29,2022-12-28,18,2022-12-29,7,03601141,1900,Nein,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,11,2022,12
52,2022-12-29,2022-12-28,18,2022-12-28,20,10300733,3154,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,2,2022,12
53,2022-12-29,2022-12-29,10,2022-12-29,17,07501133,1499,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,7,2022,12
54,2022-12-29,2022-12-29,17,2022-12-29,19,01400942,1200,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,2,2022,12
55,2022-12-29,2022-12-29,22,2022-12-29,22,02300419,1000,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2022,12
56,2022-12-29,2022-12-25,18,2022-12-26,9,02500836,2013,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,9,2022,12
57,2022-12-29,2022-12-29,13,2022-12-29,16,12400720,752,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,3,2022,12
58,2022-12-29,2022-12-28,17,2022-12-29,18,02100105,1964,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,1,2022,12
59,2022-12-29,2022-12-29,19,2022-12-29,19,03601140,0,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2022,12
60,2022-12-29,2022-12-28,5,2022-12-28,16,01300835,600,Nein,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,11,2022,12
61,2022-12-29,2022-12-29,16,2022-12-29,16,04500938,2000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2022,12
62,2022-12-29,2022-12-17,18,2022-12-18,14,01100103,1162,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,4,2022,12
63,2022-12-29,2022-12-28,12,2022-12-29,15,06300632,694,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,3,2022,12
64,2022-12-29,2022-12-22,17,2022-12-22,19,09501940,499,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,2,2022,12
65,2022-12-29,2022-12-27,17,2022-12-27,19,06300526,750,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,2,2022,12
66,2022-12-29,2022-12-29,8,2022-12-29,11,08100207,1700,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,3,2022,12
67,2022-12-29,2022-12-26,15,2022-12-29,11,07501031,1099,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3 days,4,2022,12
68,2022-12-29,2022-12-26,13,2022-12-29,10,08100521,2950,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3 days,3,2022,12
69,2022-12-29,2022-12-27,11,2022-12-27,16,06300526,667,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,5,2022,12
70,2022-12-29,2022-12-23,17,2022-12-23,18,06300526,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,1,2022,12
71,2022-12-29,2022-12-28,20,2022-12-29,16,04501149,10000,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,4,2022,12
72,2022-12-29,2022-12-28,19,2022-12-29,6,02200210,2834,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,13,2022,12
73,2022-12-29,2022-12-28,15,2022-12-29,5,02500729,1099,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,10,2022,12
74,2022-12-29,2022-12-27,15,2022-12-29,13,03400830,200,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2 days,2,2022,12
75,2022-12-28,2022-05-12,17,2022-05-12,21,09501838,399,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,4,2022,12
76,2022-12-28,2022-12-12,7,2022-12-12,16,04500939,100,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,9,2022,12
77,2022-12-28,2022-09-30,12,2022-09-30,12,01100103,0,Nein,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,0 days,0,2022,12
78,2022-12-28,2022-12-26,15,2022-12-28,11,07100102,9999,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2 days,4,2022,12
79,2022-12-28,2022-12-27,22,2022-12-28,13,02100102,730,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,9,2022,12
80,2022-12-28,2022-12-27,15,2022-12-28,14,07501031,2280,Nein,Herrenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,1 days,1,2022,12
