ANGELEGT_AM,bike_theft_count
2022-01-09,1
2022-01-18,1
2022-03-09,1
2022-04-09,1
2022-04-28,1
2022-05-16,1
2022-05-29,1
2022-06-12,1
2022-06-13,1
2022-07-04,2
2022-07-27,1
2022-08-19,1
2022-08-26,1
2022-08-30,1
2022-10-18,1
2022-10-23,1
2022-11-11,1
2022-11-13,1
2022-11-18,1
2022-11-20,1
2022-11-24,1
2022-11-25,1
2022-12-07,1
2022-12-11,1
2022-12-17,1
2022-01-05,1
2022-01-24,1
2022-01-31,1
2022-02-03,1
2022-02-10,1
2022-02-22,1
2022-02-23,1
2022-02-28,1
2022-03-07,1
2022-03-11,1
2022-03-18,1
2022-03-20,1
2022-03-26,1
2022-03-29,1
2022-04-01,1
2022-04-10,1
2022-04-12,1
2022-04-13,1
2022-04-15,1
2022-04-19,1
2022-04-26,1
2022-05-03,1
2022-05-05,1
2022-05-09,1
2022-05-21,1
2022-05-24,1
2022-05-25,1
2022-05-26,1
2022-05-29,1
2022-05-30,2
2022-05-31,1
2022-06-01,1
2022-06-08,1
2022-06-09,1
2022-06-16,1
2022-06-18,1
2022-06-22,1
2022-06-23,1
2022-06-30,1
2022-07-01,1
2022-07-04,1
2022-07-06,1
2022-07-11,1
2022-07-15,1
2022-07-19,1
2022-07-21,1
2022-07-24,2
2022-07-29,1
2022-08-03,1
2022-08-05,1
2022-08-07,1
2022-08-11,1
2022-08-15,2
2022-08-16,1
2022-08-17,1
2022-08-20,1
2022-08-21,1
2022-08-25,1
2022-08-27,1
2022-08-29,1
2022-08-30,2
2022-08-31,1
2022-09-06,1
2022-09-08,1
2022-09-10,1
2022-09-14,3
2022-09-15,1
2022-09-19,1
2022-09-21,1
2022-09-22,1
2022-09-24,1
2022-09-25,2
2022-09-29,1
2022-10-03,1
2022-10-05,1
2022-10-07,1
2022-10-08,1
2022-10-09,1
2022-10-17,1
2022-10-20,1
2022-10-25,1
2022-10-29,1
2022-11-05,1
2022-11-09,1
2022-11-10,1
2022-11-11,1
2022-11-20,1
2022-11-21,2
2022-11-23,1
2022-11-24,1
2022-11-25,1
2022-11-27,1
2022-11-29,1
2022-12-05,1
2022-12-08,2
2022-12-09,1
2022-12-12,1
2022-12-14,1
2022-12-15,1
2022-12-17,1
2022-12-30,1
2022-01-09,2
2022-02-02,1
2022-02-05,1
2022-02-09,1
2022-02-14,1
2022-02-15,1
2022-02-18,1
2022-03-02,1
2022-03-09,2
2022-03-28,1
2022-04-05,2
2022-04-09,1
2022-04-19,3
2022-04-26,1
2022-04-28,1
2022-05-09,1
2022-05-14,1
2022-05-15,2
2022-05-19,1
2022-05-20,1
2022-05-25,1
2022-05-26,1
2022-05-30,1
2022-06-06,2
2022-06-10,1
2022-06-12,1
2022-06-17,2
2022-06-24,2
2022-06-28,1
2022-07-04,1
2022-07-06,2
2022-07-16,1
2022-07-19,2
2022-07-28,1
2022-08-15,1
2022-08-25,1
2022-09-06,1
2022-09-08,1
2022-09-09,1
2022-09-11,1
2022-09-14,1
2022-09-25,1
2022-09-29,1
2022-09-30,1
2022-10-05,1
2022-10-08,1
2022-10-09,1
2022-10-23,1
2022-11-05,1
2022-11-10,1
2022-11-11,1
2022-11-14,1
2022-11-23,1
2022-11-30,1
2022-12-09,1
2022-12-10,1
2022-12-23,1
2022-12-27,1
2022-12-28,1
2022-12-29,1
2022-01-12,1
2022-01-28,1
2022-03-08,1
2022-03-15,2
2022-03-18,1
2022-03-23,1
2022-04-09,1
2022-04-23,1
2022-04-29,1
2022-05-06,1
2022-05-07,1
2022-05-10,2
2022-05-24,1
2022-05-31,1
2022-06-04,1
2022-06-12,1
2022-06-26,1
2022-06-30,1
2022-07-05,1
2022-07-07,1
2022-07-09,1
2022-07-12,1
2022-07-19,1
2022-07-25,2
2022-08-02,1
2022-08-03,1
2022-08-14,1
2022-08-15,1
2022-08-22,1
2022-09-01,1
2022-09-03,1
2022-09-08,1
2022-09-09,1
2022-09-19,1
2022-09-22,1
2022-09-27,1
2022-09-30,1
2022-10-02,1
2022-10-12,1
2022-10-24,1
2022-10-28,1
2022-10-29,1
2022-11-06,1
2022-11-11,1
2022-11-17,1
2022-11-21,1
2022-12-10,1
2022-12-27,3
2022-01-06,1
2022-01-19,1
2022-01-24,1
2022-02-03,1
2022-02-05,1
2022-02-06,1
2022-03-05,1
2022-04-01,1
2022-04-19,1
2022-05-05,1
2022-05-17,1
2022-05-26,1
2022-06-03,1
2022-06-10,2
2022-06-16,1
2022-06-20,1
2022-07-03,1
2022-07-25,1
2022-08-01,1
2022-08-15,1
2022-08-17,1
2022-08-28,1
2022-10-20,1
2022-10-25,1
2022-11-14,1
2022-11-22,1
2022-12-10,1
2022-01-02,1
2022-01-03,1
2022-01-06,1
2022-01-08,1
2022-01-10,1
2022-01-12,1
2022-01-14,2
2022-01-16,1
2022-01-19,1
2022-01-23,2
2022-01-24,1
2022-01-25,1
2022-01-30,1
2022-01-31,1
2022-02-01,2
2022-02-03,1
2022-02-04,1
2022-02-09,1
2022-02-12,1
2022-02-15,1
2022-02-17,1
2022-02-19,1
2022-02-20,1
2022-02-23,1
2022-03-02,1
2022-03-03,1
2022-03-04,1
2022-03-06,4
2022-03-10,1
2022-03-13,1
2022-03-14,1
2022-03-15,1
2022-03-16,1
2022-03-24,1
2022-03-27,2
2022-04-01,1
2022-04-19,1
2022-04-22,1
2022-04-23,2
2022-04-25,1
2022-04-29,3
2022-05-02,1
2022-05-07,1
2022-05-13,1
2022-05-14,1
2022-05-17,2
2022-05-19,2
2022-05-24,1
2022-05-25,1
2022-05-26,1
2022-05-27,1
2022-05-28,2
2022-05-31,1
2022-06-13,3
2022-06-16,1
2022-07-02,1
2022-07-04,1
2022-07-12,1
2022-07-17,1
2022-07-20,1
2022-07-25,1
2022-07-26,1
2022-07-28,2
2022-07-29,2
2022-08-02,1
2022-08-05,1
2022-08-22,1
2022-08-24,1
2022-08-25,1
2022-08-29,1
2022-08-30,1
2022-08-31,1
2022-09-01,1
2022-09-02,1
2022-09-05,1
2022-09-11,1
2022-09-12,1
2022-09-22,1
2022-09-25,1
2022-09-28,1
2022-10-02,1
2022-10-05,1
2022-10-06,1
2022-10-10,1
2022-10-13,1
2022-10-15,2
2022-10-16,1
2022-10-23,1
2022-11-02,1
2022-11-04,1
2022-11-06,1
2022-11-11,2
2022-11-12,1
2022-11-13,2
2022-11-14,2
2022-11-19,1
2022-11-23,1
2022-11-25,1
2022-11-26,1
2022-11-30,1
2022-12-04,1
2022-12-09,1
2022-12-10,2
2022-12-22,1
2022-12-25,1
