year,LOR,bike_theft_count
2022,8100208,143
2023,8100208,22
2022,8100209,53
2023,8100209,12
2022,8100310,76
2023,8100310,11
2022,8100311,81
2023,8100311,5
2022,8100312,81
2023,8100312,12
2022,8100313,18
2023,8100313,1
2022,8100314,113
2023,8100314,13
2022,8100415,56
2023,8100415,4
2022,8100416,65
2023,8100416,11
2022,8100417,108
2023,8100417,4
2022,8100418,82
2023,8100418,17
2022,8100419,23
2023,8100419,3
2022,8100520,16
2022,8100521,20
2022,8200622,14
2022,8200623,22
2023,8200623,2
2022,8200624,16
2022,8200725,3
2023,8200725,1
2022,8200726,27
2022,8200727,16
2023,8200727,1
2022,8200728,7
2022,8200729,7
2023,8200729,1
2022,8200730,7
2022,8200831,8
2022,8200832,9
2022,8200833,6
2023,8200833,2
2022,8300934,14
2023,8300934,3
2022,8300935,13
2023,8300935,3
2022,8301036,10
2022,8301037,16
2023,8301037,1
2022,8401138,4
2022,8401139,15
2022,8401140,2
2022,8401241,6
2022,8401242,5
2022,8401243,7
2023,8401243,2
2022,8401244,23
2023,8401244,1
2022,8401245,3
2022,8401246,5
2023,8401246,1
2022,9100101,231
2023,9100101,28
2022,9100202,39
2023,9100202,6
2022,9100203,26
2023,9100203,1
2022,9100304,77
2023,9100304,11
2022,9100305,20
2023,9100305,2
2022,9100306,7
2022,9100407,33
2023,9100407,2
2022,9100408,38
2023,9100408,4
2022,9100409,23
2023,9100409,1
2022,9200510,31
2022,9200511,61
2023,9200511,3
2022,9200512,17
2023,9200512,1
2022,9200613,143
2023,9200613,6
2022,9200614,7
2022,9200715,84
2023,9200715,6
2022,9200716,36
2023,9200716,5
2022,9200717,43
2023,9200717,1
2022,9200818,25
2023,9200818,3
2022,9200819,16
2023,9200819,1
2022,9300920,22
2023,9300920,1
2022,9300921,15
2023,9300921,4
2022,9300922,9
2022,9300923,21
2022,9301024,15
2023,9301024,1
2022,9301025,26
2023,9301025,2
2022,9301126,46
2023,9301126,1
2022,9301227,1
2022,9301228,4
2022,9401329,25
2023,9401329,3
2022,9401330,3
2022,9401431,21
2023,9401431,2
2022,9401432,4
2022,9401433,11
2022,9401534,22
2023,9401534,8
2022,9401635,4
2023,9401635,1
2022,9501736,40
2023,9501736,12
2022,9501737,68
2023,9501737,7
2022,9501838,87
2023,9501838,9
2022,9501939,51
2023,9501939,3
2022,9501940,51
2023,9501940,2
2022,9501941,6
2022,9502042,14
2023,9502042,1
2022,9502043,46
2023,9502043,6
2022,10100101,16
2023,10100101,1
2022,10100102,11
2022,10100103,11
2022,10100104,8
2022,10100205,2
2022,10100206,15
2023,10100206,3
2022,10100207,22
2022,10100208,18
2023,10100208,1
2022,10100209,17
2023,10100209,1
2022,10100210,21
2022,10100311,13
2023,10100311,2
2022,10100312,16
2023,10100312,2
2022,10100313,3
2022,10100314,7
2022,10100315,13
2023,10100315,2
2022,10100316,7
2023,10100316,1
2022,10200417,17
2023,10200417,2
2022,10200418,11
2023,10200418,1
2022,10200419,6
2023,10200419,1
2022,10200420,8
2023,10200420,3
2022,10200421,14
2023,10200421,2
2022,10200422,5
2022,10200423,6
2022,10200524,59
2023,10200524,3
2022,10200525,5
2022,10200526,11
2023,10200526,1
2022,10200627,7
2023,10200627,2
2022,10200628,12
2023,10200628,1
2022,10200629,20
2023,10200629,3
2022,10200630,7
2022,10300731,48
2023,10300731,5
2022,10300732,21
2023,10300732,5
2022,10300733,83
2023,10300733,12
2022,10300734,31
2023,10300734,3
2022,10400835,8
2023,10400835,1
2022,10400836,48
2023,10400836,2
2022,10400837,10
2023,10400837,2
2022,10400938,26
2022,10400939,51
2023,10400939,2
2022,10400940,14
2022,10400941,12
2022,11100101,8
2023,11100101,1
2022,11100102,9
2023,11100102,1
2022,11100203,5
2023,11100203,1
2022,11100204,5
2022,11100205,7
2022,11100206,8
2022,11100307,22
2022,11100308,10
2023,11100308,2
2022,11100309,6
2023,11100309,1
2022,11200410,29
2023,11200410,2
2022,11200411,20
2022,11200512,22
2023,11200512,2
2022,11200513,28
2023,11200513,4
2022,11200514,43
2023,11200514,3
2022,11200515,11
2023,11200515,1
2022,11300616,18
2023,11300616,2
2022,11300617,14
2023,11300617,1
2022,11300618,28
2023,11300618,1
2022,11300619,24
2023,11300619,2
2022,11300620,32
2023,11300620,1
2022,11300721,29
2023,11300721,1
2022,11300722,90
2023,11300722,9
2022,11300723,7
2023,11300723,1
2022,11300724,34
2023,11300724,3
2022,11300725,67
2023,11300725,3
2022,11300826,60
2023,11300826,9
2022,11400927,78
2023,11400927,10
2022,11400928,25
2022,11400929,94
2023,11400929,7
2022,11400930,24
2023,11400930,1
2022,11400931,19
2023,11400931,2
2022,11401032,20
2023,11401032,3
2022,11401033,20
2023,11401033,2
2022,11401034,38
2023,11401034,2
2022,11401135,28
2022,11401136,12
2023,11401136,4
2022,11401137,40
2023,11401137,4
2022,11501238,66
2023,11501238,5
2022,11501339,48
2023,11501339,3
2022,11501340,37
2023,11501340,9
2022,11501341,92
2023,11501341,13
2022,12100101,27
2023,12100101,3
2022,12100102,20
2022,12100103,16
2022,12100204,24
2022,12100205,49
2023,12100205,4
2022,12100206,21
2023,12100206,1
2022,12200307,8
2022,12200308,22
2023,12200308,3
2022,12200309,34
2023,12200309,4
2022,12200310,18
2022,12200411,1
2022,12200412,11
2023,12200412,1
2022,12200413,13
2022,12200414,4
2022,12200515,56
2023,12200515,5
2022,12400616,5
2022,12400617,8
2023,12400617,5
2022,12400618,32
2022,12400619,13
2023,12400619,2
2022,12400720,33
2023,12400720,8
2022,12400721,49
2023,12400721,8
2022,12400722,32
2023,12400722,1
2022,12400723,63
2023,12400723,3
2022,12500824,22
2023,12500824,2
2022,12500825,21
2023,12500825,3
2022,12500926,12
2023,12500926,2
2022,12500927,34
2023,12500927,3
2022,12500928,41
2023,12500928,4
2022,12500929,16
2023,12500929,1
2022,12500930,23
2022,12601031,7
2022,12601032,15
2023,12601032,4
2022,12601133,15
2023,12601133,1
2022,12601134,34
2023,12601134,5
2022,12601235,10
2022,12601236,6
