,LOR,year,bike_theft_count
253,3601348,2022,1
254,3601348,2023,1
255,3601449,2022,1
256,3601449,2023,1
257,3601450,2022,1
258,3601450,2023,1
259,3601451,2022,1
260,3601451,2023,1
261,3601452,2022,1
262,3601452,2023,1
263,3601453,2022,1
264,3601453,2023,1
265,3701554,2022,1
266,3701554,2023,1
267,3701555,2022,1
268,3701555,2023,1
269,3701556,2022,1
270,3701556,2023,1
271,3701657,2022,1
272,3701657,2023,1
273,3701658,2022,1
274,3701658,2023,1
275,3701659,2022,1
276,3701659,2023,1
277,3701660,2022,1
278,3701660,2023,1
279,4100101,2022,1
280,4100101,2023,1
281,4100102,2022,1
282,4200203,2022,1
283,4200204,2022,1
284,4200205,2022,1
285,4200206,2022,1
286,4200206,2023,1
287,4200207,2022,1
288,4200207,2023,1
289,4200308,2022,1
290,4200308,2023,1
291,4200309,2022,1
292,4200309,2023,1
293,4200310,2022,1
294,4200310,2023,1
295,4200311,2022,1
296,4200311,2023,1
297,4300412,2022,1
298,4300412,2023,1
299,4300413,2022,1
300,4300413,2023,1
301,4300414,2022,1
302,4300414,2023,1
303,4300415,2022,1
304,4300415,2023,1
305,4300416,2022,1
306,4300416,2023,1
307,4300517,2022,1
308,4300517,2023,1
309,4300518,2022,1
310,4300518,2023,1
311,4300619,2022,1
312,4300619,2023,1
313,4300620,2022,1
314,4300620,2023,1
315,4300621,2022,1
316,4300621,2023,1
317,4300622,2022,1
318,4300622,2023,1
319,4300623,2022,1
320,4300623,2023,1
321,4300624,2022,1
322,4300624,2023,1
323,4400725,2022,1
324,4400725,2023,1
325,4400726,2022,1
326,4400726,2023,1
327,4400727,2022,1
328,4400727,2023,1
329,4400728,2022,1
330,4400728,2023,1
331,4400729,2022,1
332,4400830,2022,1
333,4400830,2023,1
334,4400831,2022,1
335,4400832,2022,1
336,4400832,2023,1
337,4400833,2022,1
338,4400833,2023,1
339,4400834,2022,1
340,4400834,2023,1
341,4400835,2022,1
342,4400835,2023,1
343,4500936,2022,1
344,4500936,2023,1
345,4500937,2022,1
346,4500937,2023,1
347,4500938,2022,1
348,4500938,2023,1
349,4500939,2022,1
350,4501040,2022,1
351,4501040,2023,1
352,4501041,2022,1
353,4501041,2023,1
354,4501042,2022,1
355,4501042,2023,1
356,4501043,2022,1
357,4501043,2023,1
358,4501044,2022,1
359,4501044,2023,1
360,4501045,2022,1
361,4501045,2023,1
362,4501146,2022,1
363,4501146,2023,1
364,4501147,2022,1
365,4501147,2023,1
366,4501148,2022,1
367,4501148,2023,1
368,4501149,2022,1
369,4501149,2023,1
370,4501150,2022,1
371,4501150,2023,1
372,4501151,2022,1
373,4501151,2023,1
374,4501152,2022,1
375,4501152,2023,1
376,4501153,2022,1
377,4501153,2023,1
378,5100101,2022,1
379,5100101,2023,1
380,5100102,2022,1
381,5100102,2023,1
382,5100103,2022,1
383,5100103,2023,1
384,5100104,2022,1
385,5100104,2023,1
386,5100105,2022,1
387,5100206,2022,1
388,5100207,2022,1
389,5100208,2022,1
390,5100209,2022,1
391,5100209,2023,1
392,5100210,2022,1
393,5100210,2023,1
394,5100211,2022,1
395,5100312,2022,1
396,5100312,2023,1
397,5100313,2022,1
398,5100313,2023,1
399,5100314,2022,1
400,5100314,2023,1
401,5100315,2022,1
402,5100315,2023,1
403,5100316,2022,1
404,5100316,2023,1
405,5100317,2022,1
406,5200418,2022,1
407,5200419,2022,1
408,5200420,2022,1
409,5200421,2022,1
410,5200422,2022,1
411,5200423,2022,1
